userId,testItems
4, 23 72 270 484 943
5, 5248 8047 25912 30239 78
8, 23 44 72 207 217
9, 1265 1571 2563 2814 3755
13, 292 482 574 1102 1584
18, 199 568 594 1535 1767
19, 44 360 367 385 1174
23, 411 1233 1702 3149 3195
26, 78 140 199 605 610
29, 78 605 610 705 832
31, 23 270 484 943 1072
32, 1677 2764 4044 5424 5434
33, 15 85 292 482 574
35, 457 519 550 645 1012
37, 78 605 610 705 832
51, 15973 20941 88 10059 11707
52, 1452 1478 1628 2992 3143
53, 735 758 2879 3012 3777
54, 23 270 484 943 1072
61, 320 2454 3191 4037 6862
64, 88 797 1556 2144 2238
69, 251 385 405 462 1154
76, 44 360 2489 3192 3273
78, 385 1245 1548 3694 5732
79, 196 334 466 558 653
85, 876 17645 5843 7108 8376
89, 65 72 189 510 555
92, 197 211 506 681 1026
93, 15 85 292 482 574
95, 15 85 292 462 482
100, 23 270 484 943 1072
104, 22 73 672 1018 1274
105, 17782 1118 2196 2921 3224
109, 1478 3494 4964 5131 5419
110, 624 1233 1702 2031 2192
111, 44 78 190 199 291
112, 199 716 1547 2787 3503
122, 217 1306 2041 2049 2407
126, 72 176 233 975 1081
131, 22 68 73 1018 1233
132, 1742 2613 5465 6096 6198
136, 385 1245 1548 3633 3694
140, 199 716 755 1547 2787
144, 385 1245 1548 3633 3694
145, 466 1171 1324 1895 2362
146, 385 1245 1548 3694 5732
151, 1478 1905 1955 2157 3392
152, 4643 14480 19566 25477 29507
155, 37 613 1233 1556 1702
156, 15 85 292 482 574
160, 1905 1955 2157 3392 3859
162, 28 140 199 226 644
164, 431 466 1171 1324 1895
165, 37 1233 1556 1702 2238
166, 190 291 449 468 572
169, 68 78 538 605 610
173, 78 605 610 665 705
179, 538 778 810 841 1233
184, 197 211 506 681 1026
185, 65 72 189 473 510
186, 44 360 1233 1702 1927
187, 135 252 515 712 1105
189, 1905 1955 2157 3392 3859
190, 4966 14063 810 841 1233
191, 21877 431 466 1171 1324
197, 37 89 113 550 885
205, 78 605 610 705 832
208, 68 1233 1412 1556 1702
209, 408 466 543 661 1118
217, 37 1233 1556 1702 2238
218, 78 140 199 605 610
222, 648 810 841 1233 1478
223, 23 270 484 798 943
234, 22 73 88 385 423
240, 68 1233 1556 1702 2157
246, 23 270 484 665 943
247, 23 270 484 943 1072
250, 466 1171 1324 1895 2362
257, 1003 2144 2387 3457 4009
258, 15 78 85 292 482
268, 568 594 1535 1767 2157
269, 5062 5074 5257 5281 5323
270, 44 360 5131 7474 8211
274, 367 385 457 550 645
278, 367 385 1174 1548 1887
281, 1076 15743 1448 3633 4899
288, 5849 6841 8184 9222 9269
294, 1115 3961 3995 4092 4500
296, 2921 3224 4899 4951 5434
299, 15 85 190 291 292
301, 1286 1464 1772 2238 3101
308, 385 1245 1548 3694 5732
310, 78 605 610 705 832
312, 251 462 1719 2280 5054
314, 22 73 538 568 1018
318, 190 291 449 468 572
321, 538 778 1289 1402 1464
326, 404 408 661 923 1307
327, 272 1374 1412 1478 2879
333, 251 462 1534 1719 2280
336, 1105 1146 1677 3054 4309
337, 15 85 292 482 574
339, 27248 27263 27283 28925 29133
