userId,testValues
4, 9 9 9 9 9
5, 7.000000e+00 7.000000e+00 7.000000e+00 7.000000e+00 7
8, 10 10 10 10 10
9, 10 10 10 10 10
13, 7.000000e+00 7.000000e+00 7.000000e+00 7.000000e+00 7.000000e+00
18, 10 10 10 10 10
19, 10 10 10 10 10
23, 1 1 1 1 1
26, 8 8 8 8 8
29, 8 8 8 8 8
31, 10 10 10 10 10
32, 10 10 10 10 10
33, 2 2 2 2 2
35, 9 9 9 9 9
37, 10 10 10 10 10
51, 8.090909e+00 8.090909e+00 8 8 8
52, 10 10 10 10 10
53, 10 10 10 10 10
54, 10 10 10 10 10
61, 10 10 10 10 10
64, 10 10 10 10 10
69, 10 10 10 10 10
76, 7 7 7 7 7
78, 10 10 10 10 10
79, 8 8 8 8 8
85, 10 10 7.000000e+00 7.000000e+00 7.000000e+00
89, 6 6 6 6 6
92, 9 9 9 9 9
93, 10 10 10 10 10
95, 10 10 10 10 10
100, 10 10 10 10 10
104, 10 10 10 10 10
105, 1.000000e+01 10 10 10 10
109, 9 9 9 9 9
110, 8 8 8 8 8
111, 10 10 10 10 10
112, 10 10 10 10 10
122, 10 10 10 10 10
126, 10 10 10 10 10
131, 1 1 1 1 1
132, 5 5 5 5 5
136, 10 10 10 10 10
140, 9 9 9 9 9
144, 10 10 10 10 10
145, 5 5 5 5 5
146, 10 10 10 10 10
151, 9 9 9 9 9
152, 1.000000e+01 1.000000e+01 1.000000e+01 1.000000e+01 1.000000e+01
155, 8 8 8 8 8
156, 10 10 10 10 10
160, 9 9 9 9 9
162, 10 10 10 10 10
164, 10 10 10 10 10
165, 8 8 8 8 8
166, 8 8 8 8 8
169, 10 10 10 10 10
173, 9 9 9 9 9
179, 8 8 8 8 8
184, 8 8 8 8 8
185, 10 10 10 10 10
186, 10 10 10 10 10
187, 8 8 8 8 8
189, 10 10 10 10 10
190, 7.000000e+00 7.000000e+00 7 7 7
191, 7.000000e+00 7 7 7 7
197, 8 8 8 8 8
205, 10 10 10 10 10
208, 10 10 10 10 10
209, 1 1 1 1 1
217, 10 10 10 10 10
218, 10 10 10 10 10
222, 8 8 8 8 8
