userId, testItems
4, 692 5963 26942 30892 1
5, 5248 8047 25912 16597 17387
8, 207 265 474 761 2622
9, 1265 1571 5425 21195 27629
13, 6081 15016 15469 23137 1
18, 23976 1076 1448 10059 15743
19, 727 1953 2049 4269 4379
23, 4735 17831 24488 33562 1
26, 1456 9038 13069 18761 19399
29, 24217 1 2 3 4
31, 1991 10963 17126 1 2
32, 8985 10401 15255 15778 17676
33, 1 2 3 4 5
35, 457 2911 3249 8053 8962
37, 33 9548 11465 20242 28800
51, 15973 20941 88 10059 11707
52, 11557 16653 27911 28294 23968
53, 735 4708 5166 17925 19075
54, 18383 22029 25839 25952 30176
61, 10881 18569 19279 23135 32234
64, 88 8216 10351 11707 11752
69, 405 1034 1154 1832 2389
76, 24837 9477 11863 36163 1
78, 6612 20495 26739 35300 1
79, 2134 10734 21195 49 198
85, 876 17645 19022 25506 28397
89, 1260 3768 14029 15523 20092
92, 3164 6581 20266 25925 34752
93, 1460 3249 4554 4922 6450
95, 27 546 1263 1286 1741
100, 4223 7522 11133 11554 12535
104, 1074 2300 4410 5168 5951
105, 17782 7197 17644 1 2
109, 16004 24372 13222 16836 4459
110, 624 2031 2192 3501 4226
111, 2041 2253 2464 5009 6184
112, 6725 10801 14532 19072 30053
122, 916 1306 2041 2049 2901
126, 176 233 1107 1304 2031
131, 2576 4225 5110 14648 15640
132, 2068 4827 6198 8578 14644
136, 6314 12102 17648 21412 3398
140, 6693 7402 22104 24488 25304
144, 1 2 3 4 5
145, 13040 18439 25777 31345 1
146, 6314 8394 9980 12873 20777
151, 7241 12653 15603 22271 23338
152, 2964 4827 4938 5148 6698
155, 613 10232 20400 22908 24318
156, 1460 3249 4554 4922 6450
160, 4905 10320 12693 32968 36226
162, 1 24 28 41 103
164, 26576 28523 14789 1 2
165, 4205 8173 19240 25421 31887
166, 1073 181 249 725 757
169, 3272 4225 16153 16616 22433
173, 2675 6871 9037 9576 10410
179, 1834 2464 2911 3356 8233
184, 10 197 211 506 507
185, 473 2101 12556 15959 19042
186, 4904 6643 8170 8336 8361
187, 3949 4381 8810 10213 11001
189, 6773 12350 16211 22727 28304
190, 11131 12458 20797 26343 30201
191, 21877 33500 33745 12478 28516
197, 2608 4246 4753 5054 8109
205, 12362 35738 1 2 3
208, 20715 26438 2640 1822 5306
209, 4491 12492 19718 22918 24834
217, 10069 20806 22261 1 2
218, 13069 24256 28592 1456 9038
222, 16491 17782 18170 18741 24479
223, 6272 6828 9997 10133 10261
234, 88 6068 6623 8216 8536
240, 32829 14583 1086 3627 7086
246, 2590 2919 9723 9987 20867
247, 269 1822 7321 8556 10334
250, 7609 1 2 3 4
257, 7274 27131 32674 33398 35809
258, 12676 18148 21725 24901 27097
268, 6753 9194 10425 19926 22457
269, 16546 18346 1 2 3
270, 4542 33681 1 2 3
274, 3077 12305 21505 29665 1
278, 12635 15971 31428 35583 28590
281, 1076 15743 1448 6314 8394
288, 8184 10628 21874 3507 9970
294, 7622 11731 12281 18586 29584
296, 17644 18741 1 2 3
299, 7642 24496 7342 35494 4638
301, 4386 13325 16104 36354 26601
308, 17383 18200 14734 23188 32591
310, 17321 17794 4527 12182 22690
312, 5054 21653 3004 8425 14705
314, 1308 28775 32903 22215 30453
318, 229 1765 6354 9029 9352
321, 5352 11529 21245 27477 29650
326, 248 404 923 2019 2193
327, 876 5753 6641 6820 10401
333, 1319 1534 5039 6237 8527
336, 840 12120 12375 15374 24294
337, 10196 34698 598 5647 6829
339, 5945 8898 17126 19903 24974
344, 6442 14538 16001 18591 25209
350, 8732 29521 36718 21661 22650
353, 25513 27398 30924 27650 3736
