userId,testItems
4, 1 2 3 4 5
5, 1269 2762 10 9676 35637
8, 8134 14470 19014 30851 25084
9, 30287 1265 5425 27629 30468
13, 15469 1 2 3 4
18, 1448 18741 23976 17207 24547
19, 4269 13651 33173 3465 34657
23, 33562 1 2 3 4
26, 13069 24256 28592 1456 9038
29, 24217 1 2 3 4
31, 17126 10963 1 2 3
32, 25987 35399 15112 7351 12304
33, 1 2 3 4 5
35, 36350 457 22731 9349 21910
37, 11465 1 2 3 4
51, 15973 20941 11752 88 11707
52, 28294 16653 11557 37101 23968
53, 17925 29833 4708 23282 30053
54, 8840 23799 25952 28676 35355
61, 9373 23709 16163 30245 29921
64, 15973 8216 33266 11752 31107
69, 15599 12530 19977 29408 2764
76, 36163 9477 11863 1 2
78, 35300 6612 20495 26739 1
79, 10734 2134 21195 1 2
85, 876 17645 17193 20877 1
89, 21157 30308 34829 36425 1
92, 3164 1 2 3 4
93, 14738 4554 33628 2068 4034
95, 7876 32083 17529 35486 1853
100, 12535 20532 4223 11133 11554
104, 10149 34638 24805 8867 11916
105, 17782 7197 1 2 3
109, 16004 2623 26621 29046 31341
110, 30539 9973 2031 2192 3501
111, 12866 27009 2041 33173 20955
112, 30053 6725 14532 19072 33515
122, 16451 2041 23949 10602 9473
126, 25967 3501 1304 7168 24362
131, 27152 14648 19494 30603 4225
132, 14644 34081 1 2 3
136, 12102 21412 17648 9980 12873
140, 22104 25304 1 2 3
144, 1 2 3 4 5
145, 18439 31345 13040 25777 1
146, 21412 8394 12873 20777 17648
151, 36705 35775 12653 23338 32684
152, 25789 31755 12281 19566 25477
155, 613 10232 22908 698 14006
156, 14738 4554 33628 11752 8216
160, 12693 4905 1 2 3
162, 24999 5946 6422 10314 14768
164, 14789 1 2 3 4
165, 8173 31887 19240 25421 33361
166, 7019 1073 25679 1050 5407
169, 22533 3272 22433 36962 4225
173, 3584 9576 23081 16659 10410
179, 31341 2623 37065 2561 1397
184, 16155 32463 19817 12102 21412
185, 29885 473 15959 12556 2101
186, 30265 31601 23949 8336 26808
187, 17364 28522 31479 34706 8024
189, 29673 22727 31992 12350 16211
190, 11131 12458 30201 1 2
191, 1 2 3 4 5
197, 17000 14588 23676 26380 6599
205, 1 2 3 4 5
208, 2640 32001 36043 1 2
209, 36193 12492 19718 24834 1
217, 10069 1 2 3 4
218, 13069 24256 28592 1456 9038
222, 16491 18170 17782 18741 24479
223, 13173 16766 14668 6828 9997
234, 20941 8216 33266 6623 11752
240, 14583 35281 19396 3627 7086
246, 9723 29099 32943 23816 13192
247, 10334 15221 269 28431 1
250, 1 2 3 4 5
257, 7274 32674 33398 1 2
258, 21725 12676 18148 24901 27097
268, 6753 19926 1 2 3
269, 16546 1 2 3 4
270, 1 2 3 4 5
274, 3077 21505 1 2 3
278, 12635 15971 31428 36583 6956
281, 1076 15743 24547 34595 1448
288, 15888 36587 1 2 3
294, 35473 11731 29584 19127 22976
296, 18741 1 2 3 4
299, 20878 30834 7342 35494 21997
301, 36354 36155 397 29306 7763
308, 17383 18200 1 2 3
310, 17794 4527 12182 35303 37036
312, 5054 1 2 3 4
314, 30453 26658 15352 17771 18768
318, 9352 27065 35455 14460 23698
321, 29642 29650 5352 11529 21245
326, 28347 10461 404 923 2193
327, 17301 6641 30008 37066 30261
333, 16825 5039 1534 20634 35688
336, 23188 32591 36248 1 2
337, 598 11107 14111 10491 10502
339, 29046 31341 2623 21495 1397
344, 16001 6442 14538 782 12892
350, 29521 36718 30616 8732 33439
353, 3736 21825 1 2 3
355, 13963 18755 23843 23571 1
359, 3967 1017 8558 31129 33757
361, 7274 32674 33398 1 2
364, 1192 25925 1 2 3
365, 8606 14227 19322 16107 22579
374, 15973 20941 33266 2049 9233
375, 2911 2464 8233 24662 14634
376, 32334 1 2 3 4
378, 17011 17756 18063 10278 27753
379, 1 2 3 4 5
380, 26585 457 9349 36843 25312
383, 1 2 3 4 5
385, 10480 22007 34421 1 2
388, 3356 8001 11131 16257 20264
390, 21725 12676 18148 24901 27097
393, 366 2442 5644 17936 13530
399, 15973 5494 21818 8216 33266
401, 26394 11868 15108 26147 28761
405, 23833 25529 7036 1 2
412, 29885 473 15959 12556 2101
413, 2041 20955 1076 15743 13726
415, 21486 1 2 3 4
418, 17041 30137 1 2 3
431, 10334 15221 2034 9226 269
433, 11758 25938 32287 11624 31107
441, 21799 14532 23571 8549 17831
443, 12093 15973 28018 3133 8216
445, 1397 2623 21495 26621 29046
449, 2161 30391 2959 29692 33165
456, 8394 1 2 3 4
458, 25967 233 3283 3501 9736
459, 14197 1 2 3 4
463, 27569 5951 27864 33037 8206
466, 1 2 3 4 5
477, 11868 26147 6643 26983 16055
478, 28966 28203 14317 1 2
481, 12347 30428 30810 16254 11868
487, 25936 11989 35158 7592 9588
488, 26474 1 2 3 4
491, 5834 17833 15932 24918 1
494, 34084 10615 1 2 3
503, 5884 27736 28473 29383 35100
504, 11964 15732 1 2 3
508, 16803 7811 16687 19426 23336
509, 6828 9997 10133 18088 20139
510, 12635 15971 31428 1 2
511, 3272 9294 22776 33562 1
516, 5578 17782 3993 9239 11042
524, 3272 9294 22776 33562 30739
527, 15743 17648 1448 32019 1
531, 30504 10879 15420 21277 35149
532, 1 2 3 4 5
541, 8724 28036 13668 33276 33967
542, 14738 4554 33628 36855 1
543, 1 2 3 4 5
549, 13257 26350 27003 9333 16090
551, 23336 16803 16687 34602 33573
559, 19159 28021 33136 12528 19465
565, 8085 10108 377 877 14607
568, 30453 2068 15452 8394 1
569, 9237 17207 17193 31924 29046
572, 4475 1 2 3 4
582, 30391 11066 1 2 3
589, 23833 32287 1 2 3
590, 23336 16803 16687 34602 1
592, 3458 37101 3773 7164 18625
595, 16890 34340 1 2 3
599, 17925 8134 4708 28151 10701
600, 3067 1489 15176 16632 22849
603, 14118 20256 3515 6627 36663
605, 15973 8216 33266 11752 88
606, 31107 32287 14372 30438 10351
615, 5945 1 2 3 4
616, 19887 1316 1 2 3
617, 14725 36122 9519 30539 2031
621, 27271 2101 12057 1 2
632, 22224 1 2 3 4
643, 31830 17881 20283 1 2
646, 1162 3528 6471 1 2
651, 27163 1 2 3 4
652, 4228 24488 8590 10403 10577
653, 25626 24942 30803 31648 26962
654, 189 510 1629 1812 2255
658, 13502 2911 8233 12866 11579
659, 1709 1 2 3 4
663, 37065 1397 29046 31341 2561
665, 11989 7114 26254 33598 1
673, 1 2 3 4 5
675, 22048 32488 28429 3110 19319
680, 7274 32674 33398 12491 24791
681, 17925 4708 28151 10701 26394
684, 17011 17383 33475 17756 10278
691, 19683 5681 1041 9294 19798
696, 33412 1 2 3 4
700, 8810 35129 4381 10170 24560
705, 22029 2640 3584 32001 36043
706, 1 2 3 4 5
710, 1 2 3 4 5
712, 1076 17648 1448 32019 37065
713, 37065 2623 21495 26621 29046
715, 28877 20972 22103 22340 28605
717, 33672 19597 33071 35708 3164
722, 12264 15500 14572 27562 1663
725, 34088 21630 1 2 3
729, 10091 10467 12321 23926 24387
733, 21725 12676 27097 32928 34043
739, 19516 24231 36350 457 22731
741, 15743 17383 23949 33475 17648
744, 1 2 3 4 5
747, 8216 15973 20941 11752 88
750, 6263 29650 18970 36061 10334
757, 1853 3216 17082 3214 1
759, 33755 12524 13459 22104 32636
761, 20495 28199 30019 13160 26739
773, 29905 32690 15111 7344 250
777, 23827 36620 1 2 3
780, 14055 28992 32268 24547 25536
782, 2049 9233 13651 11366 30173
784, 4282 2053 30320 1 2
787, 2623 26621 29046 31341 37065
788, 17782 18741 24479 4503 1
789, 9902 32287 13160 1 2
791, 3598 4447 14489 12456 32641
792, 2829 17938 20947 24356 1746
796, 6623 31924 33660 14001 6997
801, 33391 16778 4966 14063 20798
806, 12941 696 5145 10491 24991
808, 36338 7279 7157 17979 36935
810, 10859 15241 27302 4478 4552
813, 17925 32879 23282 5494 21818
816, 3435 6321 7166 24699 10663
820, 4425 5583 6118 15402 17454
826, 7951 10040 13715 5747 24900
827, 20955 13726 34874 1192 9514
828, 15885 29394 26256 20680 30804
831, 4373 15534 18480 19594 28549
833, 1480 8660 21037 22904 7903
834, 12556 22312 26712 4198 34448
835, 1 2 3 4 5
839, 13257 1267 15983 36338 12682
850, 16076 19419 1469 32536 2642
852, 2143 16845 1442 29824 21189
853, 29212 17882 10305 11687 28892
854, 9576 10410 2675 6871 31825
857, 25626 24942 30803 31648 1
862, 26621 29046 37065 2623 21495
867, 17383 33475 2712 30019 30622
869, 33573 1 2 3 4
873, 8146 36723 6153 5531 7612
874, 1 2 3 4 5
879, 34614 7197 21077 13530 26974
883, 1 2 3 4 5
884, 1 2 3 4 5
886, 7274 8759 33398 1 2
888, 1659 1793 34504 36452 13522
890, 5045 19917 20594 25752 3128
899, 1544 2854 30170 12170 16758
900, 15743 26473 2143 17648 104
905, 14020 374 16368 29152 1
907, 28294 16653 34509 3570 26271
908, 7716 5585 28634 17893 17827
909, 199 35378 10366 11592 13281
916, 3943 10470 28358 1 2
919, 7876 32083 17529 35486 7520
926, 22465 3426 1 2 3
927, 1304 7168 24362 14029 16016
929, 26688 19156 20960 26417 27376
937, 13494 22461 23910 2247 22491
942, 25597 19794 26660 12222 36663
944, 31526 5585 31900 17827 2270
946, 27356 2715 16043 14072 18024
947, 25657 14976 348 22690 25084
949, 1 2 3 4 5
956, 1617 34153 16988 24595 29505
958, 1 2 3 4 5
961, 31924 1 2 3 4
968, 3272 9294 22776 33562 22002
969, 8900 35119 8762 16516 19149
972, 6191 1 2 3 4
977, 1118 2196 15552 19202 20019
978, 8810 4381 31768 10170 24560
979, 17383 18200 21661 22904 19516
982, 2522 269 8529 27486 18389
983, 21667 29529 27799 1 2
987, 1 2 3 4 5
990, 16421 31542 17064 14059 13027
1005, 22502 33033 1 2 3
1010, 3002 20964 20975 23837 23827
1011, 14105 10825 26621 31341 2561
1014, 2623 26621 29046 31341 37065
1016, 21812 1 2 3 4
1017, 8415 30280 29650 18970 36061
1033, 16891 35513 8147 21776 32186
1043, 1 2 3 4 5
1044, 6666 13594 14001 6997 16494
1046, 1 2 3 4 5
1055, 17207 24547 9420 3035 3272
1060, 15534 18480 30317 35091 11790
1061, 14174 28083 2855 17938 5039
1067, 28602 31427 7982 10954 23116
1068, 1 2 3 4 5
1076, 34324 16772 15379 29126 1037
1077, 17782 7937 10076 18798 30440
1084, 11868 26147 28761 2909 13200
1097, 3719 26705 6820 15222 21632
1102, 1 2 3 4 5
1107, 1141 13214 26755 2771 3744
1110, 31924 1 2 3 4
1112, 13709 26630 9978 6024 1
1113, 23647 12602 24042 1518 9555
1114, 16399 18516 21556 26447 31090
1117, 3826 6255 14636 16169 27522
1118, 16687 13530 23336 29229 17207
1121, 9766 25481 582 8853 9736
1122, 1 2 3 4 5
1128, 11994 24986 8752 24519 22093
1135, 1 2 3 4 5
1136, 33562 1 2 3 4
1137, 13502 7974 17190 7274 32674
1144, 1 2 3 4 5
1145, 22346 1 2 3 4
1146, 26024 18246 31891 8235 17841
1148, 19426 16803 16687 28148 34602
1151, 12187 32573 35746 29570 33974
1152, 12866 13502 34971 2464 26621
1157, 13440 32585 16074 1 2
1159, 10098 30938 31932 14565 35391
1161, 32281 10548 10663 24825 27667
1163, 28018 1 2 3 4
1165, 13173 19127 22976 22800 24477
1173, 19646 33051 2737 29020 8984
1175, 13797 22776 30441 35129 23831
1177, 8001 20673 1 2 3
1178, 29848 16254 28289 16616 21780
1180, 5579 26397 7790 13227 17074
1181, 21412 8394 12873 20777 17648
1184, 2424 7241 1 2 3
1189, 18806 4932 1 2 3
1190, 14404 6951 13235 21998 21295
1193, 9194 10425 34173 10026 3187
1201, 12523 13574 30265 6643 17664
1204, 5494 13903 15674 29742 31992
1205, 21459 1677 10755 16782 8842
1218, 35300 6612 20495 6068 26739
1222, 1 2 3 4 5
1224, 11237 15207 101 1 2
1229, 14762 3853 4833 21910 26325
1233, 6516 4950 6024 6208 22822
1235, 17982 31609 5956 3564 1
1236, 1619 23069 7503 27853 26729
1238, 22399 34610 8846 10005 31413
1240, 213 3958 10067 25988 3444
1249, 5227 1 2 3 4
1256, 30892 1 2 3 4
1263, 10160 11582 22482 17585 18349
1264, 30360 27761 1 2 3
1279, 10149 23213 34638 27530 24805
1280, 4799 28566 1 2 3
1282, 28263 19597 1267 30825 20203
1289, 17821 36599 4244 19014 28134
1291, 7474 8211 8772 9109 11054
1292, 6497 1 2 3 4
1297, 10016 30354 6960 9630 15732
