userId,testItems
4, 692 26942 1 2 3
5, 25912 1269 2762 9676 13502
8, 207 8134 8846 9404 10005
9, 1265 5425 27629 30287 30468
13, 15469 1 2 3 4
18, 23976 1076 1448 10059 15743
19, 2049 4269 13651 19326 33173
23, 17831 24488 33562 1 2
26, 1456 9038 13069 18761 19399
29, 24217 1 2 3 4
31, 10963 17126 1 2 3
32, 15112 19578 25987 35515 32092
33, 1 2 3 4 5
35, 457 2911 8962 9349 12866
37, 11465 1 2 3 4
51, 15973 20941 88 10059 11707
52, 11557 16653 28294 23968 27462
53, 735 4708 5166 17925 19075
54, 25952 196 334 558 570
61, 3356 3600 5306 7263 7406
64, 88 8216 10351 11707 11752
69, 405 1034 1154 1832 2389
76, 24837 9477 11863 36163 1
78, 6612 20495 26739 35300 1
79, 2134 10734 21195 1 2
85, 876 17645 25506 28397 17193
89, 1260 14029 30308 32951 34221
92, 3164 34752 1 2 3
93, 3249 4554 14738 29178 33628
95, 7876 17529 32083 35486 36822
100, 4223 7522 11133 11554 12535
104, 4410 10149 14837 20168 24539
105, 17782 7197 17644 1 2
109, 16004 2623 26621 29046 31341
110, 624 2031 2192 3501 4226
111, 2041 2253 2464 5009 6184
112, 6725 10801 14532 19072 30053
122, 1306 1989 2041 2049 2901
126, 176 233 1107 1304 2031
131, 4225 14648 18289 19494 20907
132, 14644 34081 1 2 3
136, 12102 17648 21412 3398 8496
140, 7402 22104 24488 25304 1
144, 1 2 3 4 5
145, 13040 18439 25777 31345 1
146, 8394 12873 20777 21412 17648
151, 12653 23338 32684 33707 35775
152, 730 776 1664 2245 2301
155, 613 10232 22908 698 924
156, 3249 4554 14738 29178 33628
160, 4905 12693 36226 1 2
162, 24 28 103 136 160
164, 14789 1 2 3 4
165, 8173 19240 25421 31887 33361
166, 1073 181 249 725 1050
169, 3272 4225 16616 22433 22533
173, 2675 6871 9037 9576 10410
179, 1834 2464 2911 8233 8962
184, 4991 8447 9900 13220 16155
185, 473 2101 12556 15959 19042
186, 4904 6643 8170 8336 8361
187, 11001 28522 31479 623 8024
189, 6773 12350 16211 22727 28304
190, 11131 12458 26343 30201 1
191, 21877 1 2 3 4
197, 2073 4246 4753 5054 8109
205, 35738 1 2 3 4
208, 2640 15089 32001 36043 1
209, 12492 19718 24834 36193 1
217, 10069 20806 1 2 3
218, 13069 24256 28592 1456 9038
222, 16491 17782 18170 18741 24479
223, 6828 9997 10133 10261 13173
234, 88 6068 6623 8216 11707
240, 14583 3627 7086 8959 17833
246, 9723 32943 29099 23816 13192
247, 269 10334 15221 28431 11237
250, 7609 1 2 3 4
257, 7274 27131 32674 33398 27531
258, 12676 18148 21725 24901 27097
268, 6753 19926 1 2 3
269, 16546 18346 1 2 3
270, 1 2 3 4 5
274, 3077 21505 1 2 3
278, 12635 15971 31428 28590 789
281, 1076 15743 1448 8394 32019
288, 10628 3507 12497 15888 36587
294, 11731 29584 35473 19565 34826
296, 17644 18741 1 2 3
299, 7342 35494 7707 15623 30156
301, 4386 16104 36354 26601 397
308, 17383 18200 1 2 3
310, 17794 4527 12182 22690 23732
312, 5054 8425 1 2 3
314, 30453 15352 17771 18768 22806
318, 229 1765 6354 9029 9352
321, 5352 11529 21245 27477 29650
326, 248 404 923 2193 3878
327, 876 5753 6641 6820 10476
333, 1319 1534 5039 8527 9161
336, 840 12120 12375 15374 24294
337, 598 6829 10491 10502 7069
339, 5945 16902 17782 18741 24479
344, 6442 14538 16001 25209 782
350, 8732 29521 36718 21661 30616
353, 27650 3736 21825 1 2
355, 13963 18755 23843 23571 1
359, 997 1017 1077 5253 5525
361, 7274 27131 32674 33398 1
364, 1192 15127 25925 33886 1
365, 9693 22579 33961 3515 4249
374, 2049 4064 9233 10446 11366
375, 2911 2464 8233 35300 7393
376, 32334 1 2 3 4
378, 8447 10278 17011 17756 18063
379, 8506 1 2 3 4
380, 7704 8476 26651 3077 3176
383, 1 2 3 4 5
385, 10480 16314 22007 23473 34421
388, 3356 3841 11111 21446 21765
390, 12676 18148 21725 24901 27097
393, 366 2442 5644 17936 12180
399, 5494 6111 21818 4537 27507
401, 3078 3505 4708 5166 7306
405, 23833 25529 7036 8704 21028
412, 473 2101 12556 15959 19042
413, 2041 13726 16451 20955 3505
415, 21486 1 2 3 4
418, 9297 17041 30137 33387 1
431, 269 10334 11237 15221 28431
433, 11758 25938 36889 1260 10351
441, 14532 17831 21799 23571 4295
443, 3133 12093 28018 32483 11752
445, 1397 2561 2623 2886 21495
449, 2161 2959 9588 29692 30391
456, 8394 1 2 3 4
458, 176 233 1107 3283 3501
459, 14197 18311 18563 29682 1
463, 5951 8206 21667 26057 27569
466, 27650 1 2 3 4
477, 1076 7480 15743 31601 102
478, 14317 28203 28966 1 2
481, 2049 5290 9233 12347 16254
487, 7592 9588 11989 25936 35158
488, 15894 26474 1 2 3
491, 5834 15932 17833 24918 1
494, 10615 34084 1 2 3
503, 5884 19352 21446 21740 27736
504, 11964 15732 1 2 3
508, 7811 16687 16803 19426 21446
509, 6828 9997 10133 16741 18088
510, 12635 15971 28590 31428 1
511, 3272 9294 22776 33562 1
516, 5578 17644 17782 22532 3692
524, 3272 9294 22776 33562 30739
527, 17648 1448 15743 32019 1
531, 30504 14 83 115 134
532, 1 2 3 4 5
541, 28036 30059 8724 13668 33276
542, 1115 1297 1337 3249 3593
543, 1 2 3 4 5
549, 13257 272 598 1234 1374
551, 16687 16803 23336 34602 7402
559, 12528 13554 19159 19465 24237
565, 8085 10108 18497 377 877
568, 30453 8394 2068 15452 1
569, 18 75 256 437 873
572, 4475 1 2 3 4
582, 11066 13726 30391 1 2
589, 23833 31940 32287 1 2
590, 16687 16803 23336 34602 1
592, 28819 3458 3773 7164 18625
595, 7302 16890 17159 34340 1
599, 2433 2850 4708 5166 7268
600, 1489 3067 15176 16632 17359
603, 382 3515 6627 13688 14118
605, 1115 1297 1337 3593 3961
606, 10351 14372 30438 31107 32287
615, 5945 1 2 3 4
616, 1316 19887 1 2 3
617, 624 2031 2192 3501 3790
621, 2101 5065 12057 24498 27271
632, 22224 1 2 3 4
643, 17881 31830 7585 20283 36552
646, 1162 3528 6471 1 2
651, 340 4215 6270 9297 9922
652, 8590 10403 10577 12719 21299
653, 24942 25626 30803 31648 33761
654, 5 36 47 65 91
658, 2911 8233 11420 11579 12866
659, 1709 5298 1 2 3
663, 25730 253 2561 2623 2723
665, 6155 7114 11989 26254 33598
673, 1 2 3 4 5
675, 1115 1297 1337 3593 3961
680, 7274 27131 32674 33398 12491
681, 4708 5166 10701 17925 26394
684, 2712 8447 17383 24479 29212
691, 1041 5681 6821 9294 19683
696, 12867 3249 33412 1 2
700, 4381 8810 10170 24560 3066
705, 2640 15089 22029 32001 36043
706, 1 2 3 4 5
710, 3841 11111 21446 21765 25500
712, 17648 1076 1448 32019 2561
713, 2561 2623 2886 21495 26621
715, 11008 20972 22103 22340 24651
717, 25248 33672 9607 3164 13746
722, 12264 14572 27562 15500 1663
725, 3939 21630 34088 1 2
729, 220 394 519 769 786
733, 8855 12676 13265 18423 21725
739, 19516 24231 26445 457 9349
741, 17648 367 470 691 1174
744, 1 2 3 4 5
747, 11752 88 8216 11707 15973
750, 18970 6263 29650 13270 35154
757, 1853 3216 7033 17082 21913
759, 12524 13459 22104 32636 33755
761, 13160 20495 26739 28199 30019
773, 250 2003 14089 15111 16914
777, 31316 23827 36620 1 2
780, 14055 27356 28992 6155 21840
782, 2049 9233 11366 13651 16254
784, 2053 4282 18615 26686 28967
787, 1397 2561 2623 26621 29046
788, 24479 17782 18741 4503 13423
789, 9902 13160 13423 32287 242
791, 4447 14489 245 340 644
792, 1746 2829 4618 17938 20947
796, 6623 31924 33660 6997 12820
801, 4930 20353 20798 21077 4386
806, 696 1729 5145 10491 12941
808, 3957 4757 6044 7157 7279
810, 2142 4478 4552 7013 7567
813, 5494 6111 21818 4537 27507
816, 116 3435 13756 25860 8514
820, 52 79 89 113 124
826, 4157 5602 7951 8331 10040
827, 1192 1755 2244 9514 20266
828, 7116 8677 8787 9108 11101
831, 14800 6494 12426 13011 16302
833, 1480 21037 22904 7903 8660
834, 4198 12556 15089 22312 26712
835, 1 2 3 4 5
839, 13257 1267 12682 15983 34561
850, 1469 16076 19419 2642 8635
852, 8099 14317 18434 23211 28203
853, 603 3350 10136 10488 10697
854, 9527 31385 37054 2675 6871
857, 27650 24942 25626 30803 31648
862, 107 1041 1265 1379 1481
867, 2712 17383 30019 30622 33475
869, 7402 33573 1 2 3
873, 20654 22251 26907 27380 32967
874, 1 2 3 4 5
879, 7197 15623 21077 26974 32743
883, 1 2 3 4 5
884, 1 2 3 4 5
886, 7274 8759 27131 33398 1
888, 1659 238 1115 1297 1337
890, 255 1303 2020 2141 2370
899, 457 778 1185 1278 1289
900, 104 655 2143 2759 9933
905, 14020 374 16368 29152 1
907, 16653 28294 34509 3570 26271
908, 6111 7716 8562 13997 16451
909, 199 214 602 716 755
916, 3943 10470 28358 1 2
919, 7876 17529 32083 35486 36822
926, 3426 22465 1 2 3
927, 1304 3768 4219 5747 6123
929, 20960 26417 26688 27376 28701
937, 13494 22461 23910 2247 5058
942, 25597 19794 26660 12222 14118
944, 2270 5585 13940 14260 17827
946, 2715 14072 16043 18024 27356
947, 348 4133 11690 14976 22690
949, 1 2 3 4 5
956, 1617 34153 16988 24595 29505
958, 1 2 3 4 5
961, 31924 1 2 3 4
968, 3272 9294 22776 33562 22002
969, 8762 8900 16516 19149 26407
972, 91 193 331 700 787
977, 628 714 794 1020 1049
978, 18035 31768 3066 4381 8810
979, 17383 18200 16334 21661 22904
982, 269 2522 29343 8529 18389
983, 21667 29529 27799 1 2
987, 1 2 3 4 5
990, 17246 25589 34743 36377 16421
1005, 22502 33033 1 2 3
1010, 3002 20964 20975 19303 23721
1011, 14105 10825 1397 2561 2623
1014, 1397 2561 2623 26621 29046
1016, 21812 28964 1 2 3
1017, 8415 30280 13270 18970 29650
1033, 16891 35513 419 1835 2460
1043, 1 2 3 4 5
1044, 6997 7672 12386 12820 14001
1046, 1 2 3 4 5
1055, 9420 17716 28964 3035 3272
1060, 1957 2080 3876 6183 8085
1061, 14174 28083 2855 17938 1319
1067, 90 145 380 501 706
1068, 24056 1 2 3 4
1076, 1037 15379 15709 16772 29126
1077, 7937 10076 18798 30440 30516
1084, 2909 9045 11868 26147 28761
1097, 3719 6820 9735 15222 21632
1102, 1 2 3 4 5
1107, 1141 3272 13214 4686 11349
1110, 31924 1 2 3 4
1112, 13709 26630 33524 6024 9978
1113, 12602 708 782 1518 1810
1114, 35 84 251 281 438
1117, 3826 28876 368 6255 11097
1118, 12180 17207 17936 19907 24547
1121, 582 8853 9461 9736 9766
1122, 1 2 3 4 5
1128, 8514 11994 28814 7614 8752
1135, 1 2 3 4 5
1136, 33562 17831 24488 1 2
1137, 418 932 2460 2536 2727
1144, 22116 1 2 3 4
1145, 22346 1 2 3 4
1146, 26024 18246 31891 8235 17841
1148, 8649 36319 5304 7758 16687
1151, 3707 3841 12187 24128 35746
1152, 269 2522 4515 9229 13220
1157, 12004 13440 32585 16074 1
1159, 242 5475 6114 10098 11564
1161, 7073 4515 10548 10663 20444
1163, 28018 1 2 3 4
1165, 19127 22976 269 2522 4064
1173, 2737 4144 4801 5061 5922
1175, 13797 22776 30441 35129 7147
1177, 8001 20673 1480 13028 21661
1178, 10516 16616 21780 22631 28289
1180, 5579 7790 13227 17074 21560
1181, 8394 12873 17648 20777 21412
1184, 2424 7241 1 2 3
1189, 4932 18806 1 2 3
1190, 6951 13235 14404 21998 28036
1193, 219 3096 3187 4454 4734
1201, 6643 12523 13574 17664 19035
1204, 2133 4537 9037 13903 15674
1205, 21459 54 1677 5231 5447
1218, 6612 20495 26739 35300 6068
1222, 4242 31744 32758 1 2
1224, 11237 15207 101 1 2
1229, 3853 4833 14740 14762 21910
1233, 6516 4950 6024 6208 16504
1235, 5956 17982 29570 31609 31830
1236, 19718 110 664 4257 5408
1238, 22399 34610 4244 8846 10005
1240, 21731 213 551 1397 1542
1249, 5227 1 2 3 4
1256, 28771 21322 30892 1 2
1263, 11582 22482 15696 10107 10160
1264, 3249 27761 29178 30360 1
1279, 23213 27530 4410 10149 14837
1280, 4799 28566 1 2 3
1282, 1388 3450 6490 8172 9864
1289, 4244 17280 17821 19014 22703
1291, 17529 35486 44 69 207
1292, 21740 6497 16437 1 2
1297, 6960 9630 10016 12091 29824
1298, 1 2 3 4 5
1314, 4064 10446 11708 1 2
1316, 25912 1 2 3 4
1322, 1867 2125 25030 32789 36929
1327, 2597 5166 10701 17925 18987
1333, 18893 21672 23888 30419 33789
1334, 1397 2561 21495 26621 29046
1335, 9730 23540 9607 22570 25529
1336, 4215 20937 185 245 340
1343, 1677 10755 16782 54 5231
1345, 778 1544 1766 1929 2133
1346, 8394 12102 12873 17648 20777
1348, 88 2777 8216 11001 11707
1356, 18603 5706 1 2 3
1361, 10574 6328 12122 26741 27238
1365, 4223 7522 11133 11554 12535
1373, 6921 9237 12222 17193 17597
1378, 5331 26601 1 2 3
1379, 29623 239 1444 1533 2806
1387, 4732 9164 12851 16803 17383
1391, 269 2522 29343 6 62
1405, 3789 6798 14626 18558 21276
1406, 14020 1 2 3 4
1408, 5494 6111 21818 4537 27507
1416, 2049 2847 8509 11337 12748
1417, 424 11043 12180 13530 16687
1418, 3259 12269 14554 1 2
1420, 3035 3272 7147 19798 20745
1423, 30141 1 2 3 4
1426, 1784 2541 7197 7274 7614
1428, 15 45 85 247 292
1431, 7758 9604 9833 12320 15609
1433, 6872 13407 18484 22859 1
1436, 4410 4527 10149 12182 14837
1438, 14020 24639 2924 5352 11529
1444, 7480 8787 14585 15593 18057
1445, 709 7933 19664 21840 24336
1447, 34129 1 2 3 4
1452, 19077 582 2192 2958 4226
1453, 35095 5940 5905 8001 15687
1463, 374 2822 10860 13727 14068
1470, 4930 16892 20353 21077 30099
1473, 5499 7595 8951 10007 16168
1474, 2148 9562 10803 20518 22609
1476, 778 1185 1544 1766 1929
1481, 88 405 457 1397 2561
1484, 30453 1 2 3 4
1486, 2597 5166 17925 18987 23282
