userId,testValues
4, 0 0 0 0 0
5, 6 6 6 6 6.000000e+00
8, 10 10 10 10 10
9, 10 0 0 0 0
13, 6 0 0 0 0
18, 10 9 9 9 9
19, 10 9 8 7 7
23, 0 0 0 0 0
26, 8 0 0 0 0
29, 8 0 0 0 0
31, 10 10 0 0 0
32, 9 9 0 0 0
33, 0 0 0 0 0
35, 9 9 0 0 0
37, 6 0 0 0 0
51, 9 9 9 9 9
52, 10 6 6 0 0
53, 9 9 9 9 6
54, 10 8 8 8 8
61, 3 3 0 0 0
64, 10 10 10 10 10
69, 10 9 8 8 8
76, 6 6 0 0 0
78, 10 0 0 0 0
79, 8 8 0 0 0
85, 10 4 4 0 0
89, 6.000000e+00 0 0 0 0
92, 9 0 0 0 0
93, 10 10 10 1 1
95, 10 8 7.000000e+00 7.000000e+00 7
100, 10 10 10 10 10
104, 8 7 7 6 0
105, 1.000000e+01 0 0 0 0
109, 9 6.000000e+00 6.000000e+00 6.000000e+00 6.000000e+00
110, 8 7 0 0 0
111, 1.000000e+01 10 10 10 10
112, 10 10 10 10 0
122, 10 10 10 9 9
126, 10 10 10 10 10
131, 1 1 0 0 0
132, 0 0 0 0 0
136, 10 10 0 0 0
140, 9 0 0 0 0
144, 0 0 0 0 0
145, 5 5 0 0 0
146, 10 10 10 0 0
151, 9 9 9 9 8
152, 1.000000e+01 10 10 10 10
155, 8 8 8 7 0
156, 10 10 10 6 6
160, 0 0 0 0 0
162, 10 10 10 7.000000e+00 7
164, 3 0 0 0 0
165, 6 0 0 0 0
166, 0 0 0 0 0
169, 10 0 0 0 0
173, 9 9 9 9 9
179, 8 8 8 8 8
184, 8 8 8 5 0
185, 10 10 10 3 3
186, 10 10 10 10 10
187, 7 7.000000e+00 6 6 5
189, 10 2 0 0 0
190, 7 7 0 0 0
191, 0 0 0 0 0
197, 8 8 8 8 8
205, 0 0 0 0 0
208, 0 0 0 0 0
209, 1 1 0 0 0
217, 0 0 0 0 0
218, 10 7 7 0 0
222, 8 8 0 0 0
223, 10 10 10 10 10
234, 9 9 9 9 9
240, 6 5 5 5 5
246, 2 0 0 0 0
247, 10 10 10 10 0
250, 0 0 0 0 0
257, 10 10 0 0 0
258, 8 0 0 0 0
268, 0 0 0 0 0
269, 0 0 0 0 0
270, 0 0 0 0 0
274, 9 0 0 0 0
278, 7 7 7 7 0
281, 1.000000e+01 1.000000e+01 10 10 10
288, 7 7 0 0 0
294, 10 10 10 7.000000e+00 7.000000e+00
296, 8 0 0 0 0
299, 7 7 5 1 1
301, 10 1 1 1 0
308, 10 10 0 0 0
310, 0 0 0 0 0
312, 0 0 0 0 0
314, 6 6 6 0 0
318, 0 0 0 0 0
321, 10 10 10 9 8
326, 6 0 0 0 0
327, 9 9 8 4 0
333, 6 0 0 0 0
336, 6.000000e+00 6.000000e+00 6.000000e+00 0 0
337, 8 6 6 0 0
339, 9 8 8 7.384615e+00 7.384615e+00
344, 6 6 0 0 0
350, 9 9 9 8 7
353, 0 0 0 0 0
355, 10 10 0 0 0
359, 10 10 10 10 10
361, 10 10 0 0 0
364, 9 0 0 0 0
365, 9 9 9 8 8
374, 9 9 9 8 8
375, 1.000000e+01 0 0 0 0
376, 0 0 0 0 0
378, 10 10 10 9 0
379, 0 0 0 0 0
380, 10 10 10 9 8
383, 0 0 0 0 0
385, 0 0 0 0 0
388, 5 5 5 5 0
390, 5 0 0 0 0
393, 6 4 2 2 2
399, 8 8 8 8 0
401, 10 10 10 10 10
405, 10 10 0 0 0
412, 10 10 10 7 0
413, 10 10 10 10 9
415, 0 0 0 0 0
418, 8 0 0 0 0
431, 6 6 6 6 5
433, 10 10 9 9 9
441, 10 10 9 8 8
443, 10 7.000000e+00 7 7 7
445, 7 7 7 7 0
449, 0 0 0 0 0
456, 0 0 0 0 0
458, 10 10 10 8 6
459, 9 0 0 0 0
463, 10 10 10 0 0
466, 0 0 0 0 0
477, 1.000000e+01 1.000000e+01 1.000000e+01 1.000000e+01 10
478, 10 10 0 0 0
481, 10 10 5 5 5
487, 10 10 4 4 1
488, 0 0 0 0 0
491, 1 1 1 0 0
494, 8 0 0 0 0
503, 10 10 10 10 10
504, 0 0 0 0 0
508, 1 1 1 1 0
509, 10 10 10 10 10
510, 0 0 0 0 0
511, 6 0 0 0 0
516, 9 8 6 6 6
524, 7 1 1 0 0
527, 1.000000e+01 10 10 10 0
531, 7 0 0 0 0
532, 0 0 0 0 0
541, 10 9 0 0 0
542, 10 10 10 0 0
543, 0 0 0 0 0
