userId,testValues
4, 0 0 0 0 0
5, 8.020596e-01 8.020596e-01 7.500000e-01 6.592736e-01 6.592736e-01
8, 1.336766e+00 1.176471e+00 1.176471e+00 1.147004e+00 1.064640e+00
9, 1.463415e+00 1.025641e+00 1.025641e+00 1.025641e+00 1.025641e+00
13, 7.097602e-01 0 0 0 0
18, 1.500000e+00 1.285714e+00 1.166667e+00 1.125000e+00 1.125000e+00
19, 1.025641e+00 9.872926e-01 8.885634e-01 8.790314e-01 7.637781e-01
23, 1.025641e-01 0 0 0 0
26, 8.790314e-01 7.898341e-01 0 0 0
29, 8.571429e-01 0 0 0 0
31, 1.098789e+00 1.025641e+00 0 0 0
32, 1.073109e+00 1.058824e+00 9.820004e-01 9.463469e-01 9.463469e-01
33, 0 0 0 0 0
35, 1.125000e+00 9.889104e-01 9.889104e-01 9.230769e-01 9.230769e-01
37, 5.923756e-01 0 0 0 0
51, 1.934783e+00 1.934783e+00 1.584013e+00 1.488372e+00 1.488372e+00
52, 1.304348e+00 1.091112e+00 1.025641e+00 7.646690e-01 6.911048e-01
53, 1.341387e+00 1.238993e+00 1.182934e+00 1.182934e+00 1.072054e+00
54, 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00
61, 9.911947e-01 9.911947e-01 8.728892e-01 8.728892e-01 7.898341e-01
64, 1.666667e+00 1.463415e+00 1.250000e+00 1.098789e+00 1.098789e+00
69, 1.774271e+00 1.476341e+00 1.476341e+00 1.476341e+00 1.333333e+00
76, 8.275862e-01 5.923756e-01 0 0 0
78, 1.098789e+00 1.025641e+00 1.025641e+00 0 0
79, 1.069413e+00 8.790314e-01 0 0 0
85, 1.025641e+00 1.025641e+00 4.102564e-01 4.102564e-01 0
89, 7.058824e-01 0 0 0 0
92, 0 0 0 0 0
93, 1.379310e+00 1.071429e+00 1.071429e+00 5.128205e-01 1.476341e-01
95, 1.098789e+00 9.872926e-01 9.529369e-01 9.230769e-01 9.230769e-01
100, 1.191171e+00 1.191171e+00 1.098789e+00 1.098789e+00 1.098789e+00
104, 1.000000e+00 8.790314e-01 8.205128e-01 7.500000e-01 7.500000e-01
105, 1.428571e+00 0 0 0 0
109, 9.889104e-01 8.780488e-01 8.780488e-01 8.780488e-01 8.780488e-01
110, 9.130435e-01 8.790314e-01 8.205128e-01 8.205128e-01 8.205128e-01
111, 1.463415e+00 1.428571e+00 1.250000e+00 1.098789e+00 1.098789e+00
112, 1.191171e+00 1.025641e+00 1.025641e+00 1.025641e+00 1.025641e+00
122, 1.176471e+00 1.123008e+00 1.115094e+00 1.098789e+00 1.098789e+00
126, 1.860465e+00 1.463415e+00 1.336766e+00 1.250000e+00 1.250000e+00
131, 1.176471e-01 1.098789e-01 9.872926e-02 0 0
132, 0 0 0 0 0
136, 1.336766e+00 1.336766e+00 0 0 0
140, 1.317073e+00 9.230769e-01 0 0 0
144, 0 0 0 0 0
145, 4.936463e-01 4.936463e-01 0 0 0
146, 1.666667e+00 1.336766e+00 1.025641e+00 1.025641e+00 0
151, 1.072054e+00 9.889104e-01 9.411765e-01 9.230769e-01 9.230769e-01
152, 3.288131e+00 3.288131e+00 3.269500e+00 2.857143e+00 2.857143e+00
155, 9.529369e-01 9.463469e-01 9.463469e-01 0 0
156, 1.379310e+00 1.071429e+00 1.071429e+00 6.592736e-01 6.153846e-01
160, 9.889104e-01 9.230769e-01 0 0 0
162, 1.403760e+00 1.403760e+00 1.403760e+00 1.403760e+00 1.403760e+00
164, 3.214286e-01 0 0 0 0
165, 8.790314e-01 8.790314e-01 8.205128e-01 8.205128e-01 8.205128e-01
166, 8.672954e-01 7.246186e-01 0 0 0
169, 1.071429e+00 1.025641e+00 1.025641e+00 0 0
173, 1.333333e+00 1.147004e+00 1.147004e+00 1.125000e+00 1.072054e+00
179, 2.545455e+00 2.377358e+00 2.377358e+00 2.288462e+00 2.100000e+00
184, 8.790314e-01 8.790314e-01 7.179487e-01 7.179487e-01 6.372242e-01
185, 1.176471e+00 1.098789e+00 1.098789e+00 9.872926e-01 7.691525e-01
186, 1.666667e+00 1.517412e+00 1.463415e+00 1.403760e+00 1.313305e+00
187, 1 8.020596e-01 7.726375e-01 7.691525e-01 6.911048e-01
189, 1.191171e+00 1.098789e+00 1.098789e+00 1.025641e+00 1.025641e+00
190, 7.179487e-01 7.179487e-01 7.179487e-01 0 0
191, 0 0 0 0 0
197, 1.449522e+00 1.447332e+00 1.345466e+00 1.267887e+00 1.263677e+00
205, 0 0 0 0 0
208, 0 0 0 0 0
209, 1.025641e-01 9.872926e-02 9.872926e-02 0 0
217, 1.025641e+00 0 0 0 0
218, 1.098789e+00 9.872926e-01 6.911048e-01 0 0
222, 8.205128e-01 8.205128e-01 0 0 0
223, 1.517412e+00 1.122877e+00 1.071429e+00 1.025641e+00 1.025641e+00
234, 1.500000e+00 1.317073e+00 1.125000e+00 1.072054e+00 9.889104e-01
240, 8.275862e-01 5.955855e-01 5.493947e-01 0 0
246, 2.500000e-01 0 0 0 0
247, 1.025641e+00 1.025641e+00 0 0 0
250, 0 0 0 0 0
257, 1.666667e+00 1.666667e+00 0 0 0
258, 1.098789e+00 1.025641e+00 1.025641e+00 1.025641e+00 1.025641e+00
268, 0 0 0 0 0
269, 5.923756e-01 0 0 0 0
270, 0 0 0 0 0
274, 9.230769e-01 9.230769e-01 0 0 0
278, 9.357362e-01 8.750000e-01 8.750000e-01 8.338198e-01 7.179487e-01
281, 1.428571e+00 1.428571e+00 1.317073e+00 1.317073e+00 1.203089e+00
288, 7.179487e-01 0 0 0 0
294, 1.191171e+00 1.098789e+00 1.025641e+00 1 1
296, 1.142857e+00 0 0 0 0
299, 8.750000e-01 7.637781e-01 5.923756e-01 5.923756e-01 5.455558e-01
301, 1.025641e+00 1.403760e-01 1.274448e-01 9.872926e-02 9.872926e-02
308, 1.463415e+00 1.463415e+00 0 0 0
310, 9.872926e-01 0 0 0 0
312, 0 0 0 0 0
314, 6.592736e-01 6.153846e-01 6.153846e-01 6.153846e-01 6.153846e-01
318, 3.949171e-01 3.949171e-01 3.949171e-01 0 0
321, 1.500000e+00 1.098789e+00 1.025641e+00 1.025641e+00 1.025641e+00
326, 6.592736e-01 6.546669e-01 5.923756e-01 5.923756e-01 5.923756e-01
327, 1.147004e+00 9.889104e-01 9.820004e-01 8.205128e-01 7.179487e-01
333, 8.571429e-01 6.546669e-01 0 0 0
336, 7.058824e-01 7.058824e-01 7.058824e-01 0 0
337, 9.411765e-01 9.263225e-01 8.571429e-01 6.592736e-01 0
339, 2.666667e+00 2.666667e+00 2.480769e+00 2.480769e+00 2.280000e+00
344, 1.176471e+00 1.098789e+00 1.098789e+00 6.153846e-01 6.153846e-01
350, 9.411765e-01 9.230769e-01 9.230769e-01 8.921139e-01 8.692172e-01
353, 0 0 0 0 0
355, 1.071429e+00 1.071429e+00 1.071429e+00 9.872926e-02 0
