userId,testItems
4, 62 1249 1262 1720 1747
5, 4390 9281 12278 15371 15961
8, 2229 2729 2884 3424 5289
9, 20215 24014 16372 23512 1
13, 376 890 2205 2372 2879
18, 257 312 471 811 913
19, 31581 34841 20886 36489 16
23, 422 34161 1 2 3
26, 1 2 3 4 5
29, 123 318 1349 2032 2102
31, 18839 8724 1 2 3
32, 8535 8696 8944 11536 11628
33, 241 447 482 849 1029
35, 3143 4390 4711 6681 6877
37, 15462 16506 29462 30795 31271
51, 56 326 665 2242 2933
52, 4217 46 230 281 521
53, 2500 9092 10620 35311 15
54, 28831 386 1083 1990 3960
61, 7223 8012 19432 16 221
64, 22809 26109 33992 3535 4278
69, 13344 14978 21942 33636 139
76, 5551 4836 7554 12267 13402
78, 1 2 3 4 5
79, 4273 10487 11419 16488 18946
85, 28922 1 2 3 4
89, 12366 18353 31509 36133 1
92, 1894 6017 10735 33220 1
93, 30996 35 188 197 371
95, 218 691 1710 2374 2778
100, 230 631 1300 1423 2159
104, 6424 20924 201 1573 1970
105, 28568 1 2 3 4
109, 7845 46 281 2028 2339
110, 101 188 1376 2586 3976
111, 4905 7546 24557 29558 13
112, 1 2 3 4 5
122, 23504 32046 34600 209 340
126, 6475 7468 15118 15287 101
131, 201 267 584 665 1327
132, 10076 10810 20114 32770 64
136, 1 2 3 4 5
140, 1690 2447 3406 5712 8085
144, 634 5137 5970 7800 8057
145, 14468 23649 32 90 182
146, 1 2 3 4 5
151, 33 1373 1650 2030 2264
152, 924 9364 9911 10112 12587
155, 1763 1948 2591 3761 3804
156, 218 1710 2374 2778 4665
160, 377 438 611 1008 1368
162, 9473 27 46 281 346
164, 765 1232 5132 6126 6984
165, 64 1356 3101 3116 3896
166, 240 342 527 837 1154
169, 15993 27 71 273 320
173, 4930 5554 7719 4212 1
179, 471 811 913 1439 2269
184, 423 1115 2455 2856 4534
185, 9382 13105 35328 259 541
186, 9441 20807 24608 35647 36370
187, 101 183 236 323 380
189, 422 23477 5098 16 57
190, 3413 5256 7204 8323 8701
191, 1332 7892 10217 12436 12767
197, 16 319 542 624 765
205, 1 2 3 4 5
208, 1 2 3 4 5
209, 72 389 390 887 1110
217, 14403 18738 20355 33276 1
218, 1298 2904 3896 4285 4305
222, 7465 3109 7023 9490 10328
223, 26316 380 1009 1086 2475
234, 64 23936 36895 2149 4617
240, 6241 4535 4613 5278 5904
246, 29696 16 119 123 318
247, 1 2 3 4 5
250, 13 7723 9189 9834 15235
257, 2065 10634 20782 28204 29491
258, 1298 2904 4473 4987 10786
268, 16 230 319 542 624
269, 1383 1478 2004 24253 1
270, 1 2 3 4 5
274, 1 2 3 4 5
278, 22022 789 5412 7752 9013
281, 257 1122 1131 1504 1580
288, 12071 24797 32655 36 207
294, 10216 1 62 103 175
296, 1 2 3 4 5
299, 4286 25384 27997 32444 170
301, 15204 257 684 741 1446
308, 1649 1725 4326 5283 5590
310, 21563 1 2 3 4
312, 1 2 3 4 5
314, 5704 16 319 542 624
318, 23622 36287 119 730 1183
321, 257 1356 1392 1504 1580
326, 1212 2656 4352 5415 5992
327, 1356 1476 1980 2365 3101
333, 10831 22656 27456 30136 32987
336, 17258 12628 2139 4092 4274
337, 1193 7725 11687 23362 139
339, 853 1272 1322 1980 2037
344, 5844 19424 4273 16976 18247
350, 62 1079 1249 1262 1720
353, 17332 290 582 1203 1328
355, 120 330 472 567 570
359, 3598 16227 34566 5247 296
361, 1 2 3 4 5
364, 50 257 266 361 1504
365, 24557 15 462 1201 1322
374, 3063 8312 17485 257 390
375, 10024 18394 19456 19789 24867
376, 22809 1 2 3 4
378, 12984 9022 9182 9201 9284
379, 1855 2763 2930 3779 5812
380, 4278 16343 2629 4833 7291
383, 741 6490 10417 13043 14269
385, 171 1089 4222 7145 8671
388, 5620 8998 9565 11064 15754
390, 447 1298 2264 2904 2962
393, 15984 139 145 735 783
399, 1 2 3 4 5
401, 4247 4894 7263 8009 9359
405, 447 761 2962 3654 4106
412, 9382 13105 35328 46 259
413, 422 462 2323 2628 2635
415, 53 119 154 730 1142
418, 101 130 312 323 357
431, 10961 26794 65 392 1165
433, 27832 22894 25665 471 811
441, 1585 5585 10264 10281 11033
443, 829 2868 5538 15010 15722
445, 7186 14108 14506 18867 21346
449, 990 14375 17270 23387 34237
456, 1234 2744 4031 9058 11630
458, 19126 342 655 1154 1465
459, 10758 1 2 3 4
