userId, testItems
4, 1 2 3 4 5
5, 14279 1086 2475 4579 5170
8, 4549 6788 8045 13951 14484
9, 1 2 3 4 5
13, 29384 1 2 3 4
18, 32343 4534 6725 6938 14066
19, 1296 7178 7723 9834 10865
23, 1 2 3 4 5
26, 1 2 3 4 5
29, 7976 26516 1 2 3
31, 1 2 3 4 5
32, 682 1969 3673 3747 7213
33, 3665 9214 11356 14387 31967
35, 21837 24824 27107 1 2
37, 1592 2340 3308 8265 10520
51, 7918 2325 1016 9598 13934
52, 22043 389 887 1110 1932
53, 5563 12435 24139 32881 33738
54, 386 11956 12322 13156 23678
61, 4106 15100 19116 19318 23924
64, 10013 1 2 3 4
69, 196 2484 8792 11818 12510
76, 5551 12267 1 2 3
78, 1 2 3 4 5
79, 4917 5891 12141 15974 17026
85, 1 2 3 4 5
89, 1 2 3 4 5
92, 1 2 3 4 5
93, 35 398 436 860 865
95, 29311 24074 7719 1195 15634
100, 1 2 3 4 5
104, 20924 3929 5566 8393 8625
105, 1 2 3 4 5
109, 1 2 3 4 5
110, 17085 3590 4289 8228 9541
111, 23248 1232 1681 2539 4581
112, 1 2 3 4 5
122, 36409 2340 3308 14292 24921
126, 7060 13208 16238 24773 34937
131, 584 5566 7399 8393 8625
132, 1 2 3 4 5
136, 1 2 3 4 5
140, 1690 10605 15462 16506 20016
144, 7800 8057 8462 8468 8734
145, 13934 14190 14200 14963 15816
146, 1 2 3 4 5
151, 1996 3666 3931 9025 14156
152, 254 8357 15832 18771 33975
155, 1763 1948 2591 3804 4128
156, 1 2 3 4 5
160, 1 2 3 4 5
162, 4526 7615 7850 19288 20922
164, 1232 5132 6984 8000 8065
165, 3101 3896 5087 8175 11895
166, 4634 1921 4305 6209 6924
169, 1 2 3 4 5
173, 4106 6788 8045 8223 13226
179, 3896 5087 7976 14276 14727
184, 13635 23512 28924 1 2
185, 389 887 1110 4930 5362
186, 1 2 3 4 5
187, 4535 4613 4917 5904 6085
189, 2101 3797 3897 9082 9165
190, 4158 5032 7079 7777 12739
191, 15449 6554 13060 32957 1
197, 853 1694 3487 5014 5849
205, 1 2 3 4 5
208, 1 2 3 4 5
209, 72 3056 6453 7185 7453
217, 1 2 3 4 5
218, 1 2 3 4 5
222, 1755 8034 25411 32102 32438
223, 32010 15214 1 2 3
234, 35801 1 2 3 4
240, 987 1 2 3 4
246, 5136 5374 7404 9664 28785
247, 1 2 3 4 5
250, 410 2259 2478 5481 11894
257, 1 2 3 4 5
258, 727 1532 4777 11883 13433
268, 4544 21639 1 2 3
269, 1383 1478 2004 24253 1
270, 1 2 3 4 5
274, 1 2 3 4 5
278, 789 7752 14574 18941 33911
281, 1 2 3 4 5
288, 32655 4992 9146 10936 10983
294, 6788 8045 9623 14484 15515
296, 1 2 3 4 5
299, 3101 6936 7239 7666 8175
301, 13418 32488 36427 1396 1717
308, 1649 5737 6365 9190 10944
310, 1 2 3 4 5
312, 1 2 3 4 5
314, 6788 14484 8045 14487 22006
318, 1 2 3 4 5
321, 1 2 3 4 5
326, 29347 1 2 3 4
327, 1356 5399 15319 4692 6889
333, 1 2 3 4 5
336, 1 2 3 4 5
337, 1368 1935 2388 2418 7883
339, 3862 4614 6806 25051 28958
344, 2854 4123 6778 7010 8534
350, 29841 196 2558 2852 3671
353, 30523 1 2 3 4
355, 120 36698 1 2 3
359, 5247 16227 27192 34566 296
361, 1 2 3 4 5
364, 23328 1 2 3 4
365, 462 2323 4366 4491 4603
374, 8820 11150 12112 14942 20769
375, 1 2 3 4 5
376, 1 2 3 4 5
378, 11000 27274 29129 29179 1
379, 1 2 3 4 5
380, 1493 5367 9658 15499 22213
383, 1 2 3 4 5
385, 1 2 3 4 5
388, 36291 1159 1688 1779 2763
390, 1 2 3 4 5
393, 3056 3966 4014 6453 6702
399, 1 2 3 4 5
401, 1773 3067 4826 7806 8006
405, 35006 1 2 3 4
412, 25178 33276 7060 24773 29552
413, 15351 21308 24497 29995 12731
415, 7666 9214 11356 17124 19090
418, 452 3165 3283 3359 3914
431, 26794 65 2406 2532 4538
433, 31509 1 2 3 4
441, 1 2 3 4 5
443, 10878 20906 1021 12041 21289
445, 18867 34880 1 2 3
449, 990 14375 17270 34237 611
456, 1 2 3 4 5
458, 673 12344 19232 25042 1
459, 1 2 3 4 5
463, 1330 7406 10751 16997 28029
466, 1 2 3 4 5
477, 6130 23428 126 238 447
478, 1 2 3 4 5
481, 6788 8045 27730 1 2
487, 1 2 3 4 5
488, 1 2 3 4 5
491, 1 2 3 4 5
494, 1 2 3 4 5
503, 2103 11829 12681 15104 16555
504, 1 2 3 4 5
508, 14994 2030 2750 3044 3430
509, 1 2 3 4 5
510, 1 2 3 4 5
511, 1 2 3 4 5
516, 29897 969 1224 1541 1602
524, 3143 6681 6877 7019 7801
527, 1 2 3 4 5
531, 4917 17026 17879 27994 28606
532, 1 2 3 4 5
541, 6698 18646 1 2 3
542, 1 2 3 4 5
543, 1 2 3 4 5
549, 220 4352 5259 5415 9073
551, 1 2 3 4 5
559, 1 2 3 4 5
565, 9 969 1224 1541 1748
568, 1 2 3 4 5
569, 3548 3624 3999 5329 10151
572, 4642 16746 27266 34146 1
582, 1 2 3 4 5
589, 1 2 3 4 5
590, 1 2 3 4 5
592, 1206 1508 2025 2491 2810
595, 2149 8296 11656 26052 29809
599, 14938 16520 21509 168 5170
600, 461 1986 3159 5988 7054
603, 26309 16024 20769 23427 24770
605, 1 2 3 4 5
606, 1 2 3 4 5
615, 1 2 3 4 5
616, 1 2 3 4 5
617, 1387 2200 2845 5341 5407
621, 1 2 3 4 5
632, 683 3198 3429 4869 5994
643, 1 2 3 4 5
646, 1 2 3 4 5
651, 2401 2484 8185 18350 21182
652, 2486 5665 16869 447 2962
653, 6597 7026 8312 8424 8891
