userId, testItems
4, 1 2 3 4 5
5, 2475 6927 16274 1086 4579
8, 4549 6788 8045 13951 14484
9, 1 2 3 4 5
13, 29384 1 2 3 4
18, 32343 14066 33147 4534 6725
19, 1296 7178 7723 9834 10865
23, 1 2 3 4 5
26, 1 2 3 4 5
29, 7976 26516 1 2 3
31, 1 2 3 4 5
32, 682 1969 3673 3747 7213
33, 3665 9214 11356 14387 31967
35, 27107 21837 24824 1 2
37, 1592 2340 3308 8265 10520
51, 7918 2325 1919 13934 17555
52, 1110 7623 18686 23966 34981
53, 5563 12435 24139 32881 33738
54, 1875 2231 5863 7652 8051
61, 4106 15100 19116 19318 23924
64, 10013 1 2 3 4
69, 196 2484 4614 8792 11818
76, 5551 12267 32228 1 2
78, 1 2 3 4 5
79, 4917 5891 12141 15974 17026
85, 1 2 3 4 5
89, 1 2 3 4 5
92, 1 2 3 4 5
93, 35 398 436 860 865
95, 29311 1195 22545 26776 26814
100, 1 2 3 4 5
104, 19940 3929 5566 8393 9053
105, 1 2 3 4 5
109, 1 2 3 4 5
110, 3590 4289 8228 9541 9870
111, 23248 1232 1681 2539 4581
112, 1 2 3 4 5
122, 36409 2340 25004 30033 36268
126, 13208 16238 24773 7060 34937
131, 584 5566 7399 8393 8625
132, 1 2 3 4 5
136, 1 2 3 4 5
140, 1690 10605 15462 16506 20016
144, 7800 8057 8462 8468 8734
145, 13934 14190 14200 14963 15816
146, 1 2 3 4 5
151, 14156 1996 3666 3931 18287
152, 5924 254 444 587 691
155, 7843 12799 1763 1948 3804
156, 1 2 3 4 5
160, 1 2 3 4 5
162, 4526 7615 7850 19288 20922
164, 1681 11148 13003 13381 30189
165, 3101 3896 5087 8175 11895
166, 4634 1921 4305 6209 6924
169, 1 2 3 4 5
173, 4106 6788 8045 8223 13226
179, 503 1199 3896 5087 7335
184, 13635 23512 1 2 3
185, 30259 34018 389 887 1110
186, 1 2 3 4 5
187, 4535 4613 4917 5904 6085
189, 2101 3797 3897 9082 9165
190, 12739 21294 36219 5032 21396
191, 6554 12436 13060 15449 32957
197, 853 1694 3487 5014 5849
205, 1 2 3 4 5
208, 1 2 3 4 5
209, 72 3056 6453 7185 7453
217, 1 2 3 4 5
218, 1 2 3 4 5
