userId,testItems
4, 1 2 3 4 5
5, 20897 1 2 3 4
8, 6788 8045 13951 14484 25064
9, 1 2 3 4 5
13, 1 2 3 4 5
18, 33147 4534 1 2 3
19, 1296 7178 18022 18396 19139
23, 1 2 3 4 5
26, 1 2 3 4 5
29, 1 2 3 4 5
31, 1 2 3 4 5
32, 12474 23575 25052 25431 28953
33, 1 2 3 4 5
35, 21837 24824 1 2 3
37, 2340 3308 14292 24921 25004
51, 1919 17555 340 1016 1589
52, 12666 17035 21624 22354 30076
53, 1 2 3 4 5
54, 35431 6634 8926 10253 16145
61, 19314 1 2 3 4
64, 1 2 3 4 5
69, 196 4614 8792 12510 14972
76, 5551 12267 1 2 3
78, 1 2 3 4 5
79, 5891 12141 25701 1 2
85, 1 2 3 4 5
89, 1 2 3 4 5
92, 1 2 3 4 5
93, 398 860 865 1514 6369
95, 987 24937 398 860 865
100, 1 2 3 4 5
104, 3723 8768 16248 17545 1
105, 1 2 3 4 5
109, 1 2 3 4 5
110, 22530 29209 26686 1 2
111, 8735 20217 20461 1 2
112, 1 2 3 4 5
122, 2340 25004 30033 36268 3308
126, 1 2 3 4 5
131, 7399 31154 34312 1 2
132, 1 2 3 4 5
136, 1 2 3 4 5
140, 1 2 3 4 5
144, 8057 8462 8468 8734 10136
145, 13934 14963 15816 21208 25924
146, 1 2 3 4 5
151, 1 2 3 4 5
152, 254 5924 8306 1235 1452
155, 1 2 3 4 5
156, 1 2 3 4 5
160, 1 2 3 4 5
162, 4526 7615 19288 20922 29510
164, 1296 7178 18022 18396 28035
165, 1 2 3 4 5
166, 15098 15185 17823 26278 26400
169, 1 2 3 4 5
173, 6788 8045 13226 27730 1
179, 987 32704 2129 2195 3365
184, 1 2 3 4 5
185, 657 3209 4791 18650 29656
186, 1 2 3 4 5
187, 126 1213 4014 4592 4696
189, 9165 1 2 3 4
190, 1 2 3 4 5
191, 6554 32957 1 2 3
197, 1694 5014 9991 12631 13242
205, 1 2 3 4 5
208, 1 2 3 4 5
209, 7185 13569 14859 16892 21321
217, 1 2 3 4 5
218, 1 2 3 4 5
222, 1 2 3 4 5
223, 32010 1 2 3 4
234, 1 2 3 4 5
240, 1 2 3 4 5
246, 5136 9664 28785 34094 34575
247, 1 2 3 4 5
250, 410 2259 2478 11894 17931
257, 1 2 3 4 5
258, 1 2 3 4 5
268, 1 2 3 4 5
269, 2004 1383 24253 1 2
270, 1 2 3 4 5
274, 1 2 3 4 5
278, 789 33911 14574 18941 1
281, 1 2 3 4 5
288, 12416 17775 21078 21558 22825
294, 1 2 3 4 5
296, 1 2 3 4 5
299, 12928 5086 16315 24457 26593
301, 3511 10289 11633 13957 14377
308, 1 2 3 4 5
310, 1 2 3 4 5
312, 1 2 3 4 5
314, 8045 14484 27730 6788 1
318, 1 2 3 4 5
321, 1 2 3 4 5
326, 1 2 3 4 5
327, 10739 10870 14403 18738 20323
333, 1 2 3 4 5
336, 1 2 3 4 5
337, 1368 1935 7883 8892 11143
339, 11634 31566 2046 4526 6791
344, 1 2 3 4 5
350, 29841 5722 21275 24956 2558
353, 1 2 3 4 5
355, 1 2 3 4 5
359, 5247 16227 27192 789 908
361, 1 2 3 4 5
364, 1 2 3 4 5
365, 18738 5712 5836 7430 14403
374, 15772 17353 30047 33585 823
375, 1 2 3 4 5
376, 1 2 3 4 5
378, 1 2 3 4 5
379, 1 2 3 4 5
380, 1493 5367 9658 15499 25212
383, 1 2 3 4 5
385, 1 2 3 4 5
388, 20981 2763 2930 3779 5812
390, 1 2 3 4 5
393, 3966 10711 19016 19657 27601
399, 1 2 3 4 5
401, 7806 26144 14756 31551 9
405, 1 2 3 4 5
412, 25178 1 2 3 4
413, 3516 5330 13085 26495 28205
415, 9214 11356 31967 1 2
418, 1 2 3 4 5
431, 65 2119 5150 6888 9890
433, 1 2 3 4 5
441, 1 2 3 4 5
443, 1021 12041 21289 30613 4919
445, 18867 34880 1 2 3
449, 990 14375 17270 34237 8085
456, 1 2 3 4 5
458, 1 2 3 4 5
459, 1 2 3 4 5
463, 1330 10751 16997 28029 1
466, 1 2 3 4 5
477, 11680 12425 26802 447 669
478, 1 2 3 4 5
481, 1 2 3 4 5
487, 1 2 3 4 5
488, 1 2 3 4 5
491, 1 2 3 4 5
494, 1 2 3 4 5
503, 1 2 3 4 5
504, 1 2 3 4 5
508, 1 2 3 4 5
509, 1 2 3 4 5
510, 1 2 3 4 5
511, 1 2 3 4 5
516, 30110 1 2 3 4
524, 8915 10565 18073 36530 19710
527, 1 2 3 4 5
531, 1932 4353 24338 1 2
532, 1 2 3 4 5
541, 1 2 3 4 5
542, 1 2 3 4 5
543, 1 2 3 4 5
549, 220 14680 24346 24491 22054
551, 1 2 3 4 5
559, 1 2 3 4 5
565, 8270 9101 899 4175 5839
568, 1 2 3 4 5
569, 23629 1419 9229 12751 13382
572, 1 2 3 4 5
582, 1 2 3 4 5
589, 1 2 3 4 5
590, 1 2 3 4 5
592, 1206 2491 4864 4928 8829
595, 2149 5084 8296 10117 11656
599, 5170 7495 30745 14000 1
600, 1 2 3 4 5
603, 1 2 3 4 5
605, 1 2 3 4 5
606, 1 2 3 4 5
615, 1 2 3 4 5
616, 1 2 3 4 5
617, 6192 20618 21072 23853 34366
621, 1 2 3 4 5
632, 1 2 3 4 5
643, 1 2 3 4 5
646, 1 2 3 4 5
651, 2484 3331 8185 18350 21182
652, 5570 6422 7939 8950 15842
653, 18531 1 2 3 4
654, 1 2 3 4 5
658, 1 2 3 4 5
659, 1 2 3 4 5
663, 27944 1 2 3 4
665, 1 2 3 4 5
673, 1 2 3 4 5
675, 33620 11829 12681 15104 16555
680, 1 2 3 4 5
681, 1 2 3 4 5
684, 18696 22444 1 2 3
691, 1 2 3 4 5
696, 16024 16100 17548 21838 23427
700, 1349 2102 2562 4799 5314
705, 7732 13531 13540 1 2
706, 1 2 3 4 5
710, 1 2 3 4 5
712, 1 2 3 4 5
713, 1 2 3 4 5
715, 1 2 3 4 5
717, 1 2 3 4 5
722, 2632 2828 17247 21445 28043
725, 1 2 3 4 5
729, 3218 3461 5423 7666 7898
733, 594 1219 2710 4110 36605
739, 1 2 3 4 5
741, 21837 24824 1 2 3
744, 1 2 3 4 5
747, 1206 2491 3466 4864 4928
750, 1 2 3 4 5
757, 1 2 3 4 5
759, 1 2 3 4 5
761, 1 2 3 4 5
773, 9837 12247 29524 35996 20272
777, 799 934 6413 6525 7399
780, 965 11130 15922 16360 20434
782, 1 2 3 4 5
784, 1034 6012 6133 8085 8492
787, 1 2 3 4 5
788, 1 2 3 4 5
789, 1 2 3 4 5
791, 2457 9775 35596 1236 2358
792, 1 2 3 4 5
796, 1 2 3 4 5
801, 1242 1466 1743 2129 2195
806, 18577 24161 32402 2989 27100
808, 1 2 3 4 5
810, 20618 7055 8248 27108 30600
813, 7939 302 428 837 1068
816, 22726 31228 15098 30446 2538
820, 78 760 1482 5123 8436
826, 1296 5230 7178 15461 18022
827, 2066 2948 3015 7437 7949
828, 3185 9026 12783 13407 15571
831, 31427 34508 35546 490 678
833, 1 2 3 4 5
834, 4592 7773 19661 19669 30374
835, 1 2 3 4 5
839, 1485 17586 24346 25109 28878
850, 1791 20396 20656 1 2
852, 13140 30740 30916 33022 9882
853, 1 2 3 4 5
854, 1 2 3 4 5
857, 1 2 3 4 5
862, 17770 20276 32298 12683 13140
867, 1 2 3 4 5
869, 1 2 3 4 5
873, 9837 12247 29524 35996 17251
874, 9 16648 19949 26275 30842
879, 8900 30523 1 2 3
883, 503 853 1199 1426 3199
884, 1 2 3 4 5
886, 1 2 3 4 5
888, 8377 11154 11471 17752 27258
890, 1 2 3 4 5
899, 1 2 3 4 5
900, 11122 30318 1 2 3
905, 99 875 1310 1647 2034
907, 1 2 3 4 5
908, 1122 1131 4891 14523 15273
909, 799 6525 13078 27282 36447
916, 3483 4272 5237 22818 29980
919, 15359 27403 31630 1 2
926, 1159 1688 1779 3121 8311
927, 14908 18531 24265 24739 29695
929, 1 2 3 4 5
937, 1 2 3 4 5
942, 1 2 3 4 5
944, 1 2 3 4 5
946, 1 2 3 4 5
947, 20461 7849 1 2 3
949, 1 2 3 4 5
956, 1 2 3 4 5
958, 1 2 3 4 5
961, 1 2 3 4 5
968, 1 2 3 4 5
969, 12249 21546 28259 6693 7578
972, 1 2 3 4 5
977, 1 2 3 4 5
978, 1 2 3 4 5
979, 1 2 3 4 5
982, 1 2 3 4 5
983, 1 2 3 4 5
987, 1 2 3 4 5
990, 1 2 3 4 5
1005, 1 2 3 4 5
1010, 316 11694 21763 3296 9711
1011, 1 2 3 4 5
1014, 1 2 3 4 5
1016, 1 2 3 4 5
1017, 3894 4938 14702 24855 29653
1033, 969 1224 1541 1602 1748
1043, 1 2 3 4 5
1044, 658 11341 14550 21556 28511
1046, 1 2 3 4 5
1055, 1 2 3 4 5
1060, 1 2 3 4 5
1061, 9245 16871 2455 2856 3324
1067, 1223 2840 3154 8531 12764
1068, 249 5739 5764 6863 11106
1076, 1589 6514 7861 8058 8597
1077, 30054 875 1647 3128 3686
1084, 564 1302 3696 4281 6850
1097, 22945 13723 18696 20584 22444
1102, 1 2 3 4 5
1107, 1006 31489 36108 123 236
1110, 1 2 3 4 5
1112, 34698 823 7007 8949 14286
1113, 20114 1402 3537 4252 5404
1114, 7101 30962 1 2 3
1117, 3536 4771 19567 1 2
1118, 311 1590 2407 8968 10629
1121, 236 1122 1131 4908 6754
1122, 1 2 3 4 5
1128, 1 2 3 4 5
1135, 1 2 3 4 5
1136, 1 2 3 4 5
1137, 11412 9247 6977 10889 21087
1144, 1 2 3 4 5
1145, 1 2 3 4 5
1146, 5576 7964 29657 1 2
1148, 12659 29738 164 3133 3520
1151, 21828 20599 1 2 3
1152, 24414 34220 25548 28291 6776
1157, 18181 1 2 3 4
1159, 3966 10711 19016 19657 27601
1161, 143 581 3085 5305 5888
1163, 1 2 3 4 5
1165, 6041 13580 28014 28368 9146
1173, 143 581 1993 2019 6159
1175, 861 2510 4438 5105 6668
1177, 1 2 3 4 5
1178, 1 2 3 4 5
1180, 1 2 3 4 5
1181, 1 2 3 4 5
1184, 1 2 3 4 5
1189, 85 8657 12339 20047 29477
1190, 1 2 3 4 5
1193, 1551 1676 1949 2456 2576
1201, 6072 7275 13626 13738 27197
1204, 4014 6702 16018 16349 26696
1205, 56 2933 4697 5254 5388
1218, 391 1250 4659 5998 7518
1222, 335 507 741 1359 2558
1224, 1 2 3 4 5
1229, 13218 1 2 3 4
1233, 899 4175 5461 5839 6149
1235, 5457 7723 9834 22132 23215
1236, 3027 17664 335 336 507
1238, 5548 6468 13388 18735 1
1240, 3134 6253 9623 10718 12323
1249, 1 2 3 4 5
1256, 1 2 3 4 5
1263, 35882 2514 11000 27274 29129
1264, 1 2 3 4 5
1279, 16100 4285 16008 16181 17548
1280, 17256 1 2 3 4
1282, 24392 30065 13242 14684 15771
1289, 1 2 3 4 5
1291, 1771 11515 14450 17355 22860
1292, 1 2 3 4 5
1297, 1 2 3 4 5
1298, 1 2 3 4 5
1314, 1 2 3 4 5
1316, 1 2 3 4 5
1322, 1 2 3 4 5
1327, 1 2 3 4 5
1333, 174 1464 1472 2301 4769
1334, 1 2 3 4 5
1335, 9489 20706 24008 26727 34514
1336, 5909 11032 21162 14815 1065
1343, 5510 30523 1 2 3
1345, 2916 4148 14198 16465 22910
1346, 1 2 3 4 5
1348, 1674 13675 14203 18482 21483
1356, 1 2 3 4 5
1361, 1 2 3 4 5
1365, 837 1644 2385 4390 5295
1373, 1 2 3 4 5
1378, 1 2 3 4 5
1379, 1 2 3 4 5
1387, 929 1407 4582 5127 6679
1391, 776 12205 126 4592 7773
1405, 1 2 3 4 5
1406, 1 2 3 4 5
1408, 1 2 3 4 5
1416, 32566 1 2 3 4
1417, 1 2 3 4 5
1418, 1 2 3 4 5
1420, 4158 5074 7079 7117 7777
1423, 1 2 3 4 5
1426, 18345 6863 8123 15905 19903
1428, 1 2 3 4 5
1431, 15598 1044 2947 6340 8136
1433, 1514 1 2 3 4
1436, 1 2 3 4 5
1438, 1 2 3 4 5
1444, 13297 11684 20096 29862 17096
1445, 14250 1 2 3 4
1447, 9004 17729 24704 1 2
1452, 11169 17318 13675 3746 4115
1453, 6899 8755 11134 28434 1
1463, 2083 17238 19828 23714 9623
1470, 1 2 3 4 5
1473, 1 2 3 4 5
1474, 246 23639 1 2 3
1476, 311 1590 11321 20588 23060
1481, 2916 11290 13702 16465 23564
1484, 1 2 3 4 5
1486, 23158 611 2969 3068 6521
1487, 781 2065 3784 5912 8604
1493, 1 2 3 4 5
1501, 3797 11384 31981 13303 21136
1502, 296 1943 2314 2392 6895
1503, 1 2 3 4 5
